"field07";"azeg";"qsdfgh"
"filters";"t1";"t2"
"t1";"t2"
"save";""
"Confirmer la mise en optin du contact sélectionné";""
"Click on the left pane to display parameters";""
"OptIn contacts";""
"responses contact form";""
"Reply to";""
"the login/password entered was wrong, please try again";""
" or edit the site directly in the editor ";""
"field14";""
"user login";""
"no available information";""
"budget";""
"importation in progress";""
"my performance ratio";""
"number of sent messages";""
"Campaign deleted.";""
